origin,product,perc,sum_kg_product
LAS PALMAS,PLATANO,98.69,24234152
STA.CRUZ DE TENERIFE,PLATANO,98.46,25410780
TERUEL,MANZANA,88.46,715197
SORIA,MANZANA,86.39,1958192
HUELVA,FRESON,85.82,31677646
PALENCIA,PATATA,82.71,99400
VALENCIA,NARANJA,79.54,107654041
BURGOS,PATATA,75.71,6085015
VALLADOLID,PATATA,73.07,39986627
GERONA,MANZANA,72.17,4454885
ORENSE,POLLO,71.49,2010572
CIUDAD REAL,CEBOLLA,69.28,1599760
SALAMANCA,PORCINO,67.3,2852089
HUESCA,MANZANA,63.62,1993128
ALAVA,PATATA,63.43,1964168
TARRAGONA,ATUN,61.63,496252
LERIDA,MANZANA,57.12,12620130
ZAMORA,OVINO,53.96,515001
LA RIOJA,PATATA,52.66,6686489
ZARAGOZA,MANZANA,52.64,23227609
GRANADA,TOMATE,49.92,6435493
CASTELLON,NARANJA,49.9,4391784
NAVARRA,PERA,47.12,8598832
CACERES,VACUNO,46.1,9237999
ALBACETE,CHAMPIÑON,45.38,1259636
CUENCA,CEBOLLA,44.95,6708174
ASTURIAS,KIWI,44.87,1668525
VIZCAYA,ELABORADOS,43.34,1716052
ALMERIA,TOMATE,43.19,69898423
JAEN,VACUNO,42.98,336990
TOLEDO,CEBOLLA,41.33,23022061
SEGOVIA,ZANAHORIA,40.79,14123957
LUGO,POLLO,39.61,980346
SEGOVIA,PATATA,39.23,13585878
BARCELONA,VACUNO,38.36,2651868
ALBACETE,CEBOLLA,34.64,961706
CACERES,CEREZAS,34.58,6929731
AVILA,PAVO,34.57,356981
CADIZ,ZANAHORIA,33.81,2149382
GUADALAJARA,HUEVOS,33.08,211964
AVILA,POLLO,32.87,339428
BADAJOZ,MELOCOTON,31.87,1688140
ALAVA,POLLO,31.59,978224
GUADALAJARA,ESPARRAGO,31.57,202340
CUENCA,PORCINO,30.3,4521674
BARCELONA,PORCINO,30.04,2076340
LERIDA,PERA,28.69,6337557
PONTEVEDRA,KIWI,27.44,6759155
SEVILLA,PATATA,26.51,4312837
ZARAGOZA,PORCINO,26.39,11644464
ZAMORA,VACUNO,26.09,248978
MADRID,VACUNO,25.69,5586990
SEVILLA,NARANJA,25.42,4136075
MALAGA,TOMATE,24.54,3254538
LUGO,VACUNO,24.32,601881
JAEN,PORCINO,24.23,189978
SALAMANCA,PATATA,23.52,996766
LEON,PATATA,22.29,1096759
CORDOBA,PATATA,21.74,83820
LEON,POLLO,21.41,1053146
CORDOBA,VACUNO,21.35,82295
CORDOBA,NARANJA,21.01,81000
GUIPUZCOA,MERLUZA,20.62,2720925
CANTABRIA,LECHUGA,20.26,218051
VALLADOLID,ZANAHORIA,19.52,10682410
PONTEVEDRA,ELABORADOS,19.23,4736643
ASTURIAS,VACUNO,19.2,713821
MURCIA,LIMON,18.83,14508690
LEON,PERA,18.79,924458
MALAGA,AGUACATE,18.34,2432952
LA RIOJA,PERA,18.21,2312590
CASTELLON,MANDARINA,17.66,1554592
CADIZ,PATATA,16.98,1079600
ORENSE,PATATA,16.66,468468
GRANADA,CHIRIMOYAS,15.29,1971284
CANTABRIA,BOQUERON,15.27,164316
GUADALAJARA,POLLO,14.85,95172
HUESCA,PERA,14.76,462573
ALICANTE,NARANJA,14.59,1816442
GERONA,PORCINO,14.49,894325
MURCIA,TOMATE,14.09,10855608
CUENCA,CHAMPIÑON,13.99,2088620
TARRAGONA,POLLO,13.54,109040
MALAGA,NARANJA,13.19,1749882
BADAJOZ,CEREZAS,12.92,684281
MURCIA,MELOCOTON,12.68,9766569
SEVILLA,PAVO,12.48,2030954
NAVARRA,LECHUGA,12.12,2211295
CANTABRIA,LANGOSTINO,11.91,128213
LA CORUÑA,MERLUZA,11.9,532338
TOLEDO,PORCINO,11.8,6571006
ALMERIA,PIMIENTO,11.5,18605898
CIUDAD REAL,MELONES,11.43,263820
GUIPUZCOA,ELABORADOS,10.86,1432958
TARRAGONA,PAVO,10.78,86770
ALMERIA,LECHUGA,10.73,17368763
ZARAGOZA,PERA,10.33,4558022
BADAJOZ,NECTARINA,9.69,513240
MADRID,CALAMAR,9.64,2097666
ALICANTE,LIMON,9.38,1168392
LA CORUÑA,SALMON,9.26,414353
AVILA,CEREZAS,9.22,95190
CADIZ,PUERROS,9.22,586180
LA CORUÑA,BACALADILLA-LIRIO,9.2,411601
PALENCIA,OVINO,8.65,10400
MADRID,PORCINO,8.63,1876998
LUGO,MERLUZA,8.08,199985
VIZCAYA,MERLUZA,7.98,316076
ALBACETE,SETAS,7.76,215306
BURGOS,PORCINO,7.69,617897
ALICANTE,POMELO,7.47,930237
PONTEVEDRA,MERLUZA,7.45,1834979
NAVARRA,POLLO,7.29,1330079
ZAMORA,PORCINO,7.26,69260
ASTURIAS,BACALADILLA-LIRIO,7.18,266898
BURGOS,VACUNO,6.94,557440
GUIPUZCOA,SALMON,6.91,911543
TOLEDO,VACUNO,6.87,3828853
ORENSE,CONEJO,6.69,188140
LERIDA,PARAGUAYAS,6.63,1464650
SALAMANCA,VACUNO,6.54,276975
HUESCA,CEREZAS,6.17,193371
BARCELONA,AÑOJO,6.09,421219
JAEN,ELABORADOS,6.07,47560
TERUEL,TOMATE,5.81,47000
VALENCIA,MANDARINA,5.65,7650501
SEGOVIA,PUERROS,5.52,1911105
LA RIOJA,LECHUGA,5.29,671747
GRANADA,ESPARRAGO,5.19,669690
VIZCAYA,SALMON,4.92,194780
CIUDAD REAL,ELABORADOS,4.75,109724
CACERES,AÑOJO,4.14,828641
CASTELLON,BOQUERON,4.07,358253
HUELVA,NARANJA,3.7,1367083
GERONA,VACUNO,3.46,213435
SORIA,CONGELADOS,3.42,77440
PALENCIA,CACAHUETE,3.22,3872
VALLADOLID,POLLO,2.67,1458397
SORIA,PATATA,2.29,51840
HUELVA,FRAMBUESAS,2.09,770721
VALENCIA,NECTARINA,1.85,2504268
TERUEL,PATATA,1.65,13359
STA.CRUZ DE TENERIFE,ATUN,1.21,312265
ALAVA,ELABORADOS,1.09,33620
LAS PALMAS,ATUN,1.07,263676
STA.CRUZ DE TENERIFE,DORADA,0.16,40440
LAS PALMAS,PAPAYA,0.12,29950
