origin,product,perc
ZARAGOZA,MANZANA,52.64
ZARAGOZA,PERA,10.33
ZARAGOZA,PORCINO,26.39
ZAMORA,OVINO,53.96
ZAMORA,PORCINO,7.26
ZAMORA,VACUNO,26.09
VIZCAYA,ELABORADOS,43.34
VIZCAYA,KIWI,4.65
VIZCAYA,MERLUZA,7.98
VALLADOLID,PATATA,73.07
VALLADOLID,POLLO,2.67
VALLADOLID,ZANAHORIA,19.52
VALENCIA,MANDARINA,5.65
VALENCIA,NARANJA,79.54
VALENCIA,NECTARINA,1.85
TOLEDO,CEBOLLA,41.33
TOLEDO,PORCINO,11.8
TOLEDO,VACUNO,6.87
TERUEL,MANZANA,88.46
TERUEL,PATATA,1.65
TERUEL,TOMATE,5.81
TARRAGONA,ATUN,61.63
TARRAGONA,PAVO,10.78
TARRAGONA,POLLO,13.54
STA.CRUZ DE TENERIFE,ATUN,1.21
STA.CRUZ DE TENERIFE,DORADA,0.16
STA.CRUZ DE TENERIFE,PLATANO,98.46
SORIA,CONGELADOS,3.42
SORIA,MANZANA,86.39
SORIA,PATATA,2.29
SEVILLA,NARANJA,25.42
SEVILLA,PATATA,26.51
SEVILLA,PAVO,12.48
SEGOVIA,PATATA,39.23
SEGOVIA,PUERROS,5.52
SEGOVIA,ZANAHORIA,40.79
SALAMANCA,PATATA,23.52
SALAMANCA,PORCINO,67.3
SALAMANCA,VACUNO,6.54
PONTEVEDRA,ELABORADOS,19.23
PONTEVEDRA,KIWI,27.44
PONTEVEDRA,MERLUZA,7.45
PALENCIA,CACAHUETE,3.22
PALENCIA,OVINO,8.65
PALENCIA,PATATA,82.71
ORENSE,CONEJO,6.69
ORENSE,PATATA,16.66
ORENSE,POLLO,71.49
NAVARRA,LECHUGA,12.12
NAVARRA,PERA,47.12
NAVARRA,POLLO,7.29
MURCIA,LIMON,18.83
MURCIA,MELOCOTON,12.68
MURCIA,TOMATE,14.09
MALAGA,AGUACATE,18.34
MALAGA,NARANJA,13.19
MALAGA,TOMATE,24.54
MADRID,CALAMAR,9.64
MADRID,PORCINO,8.63
MADRID,VACUNO,25.69
LUGO,MERLUZA,8.08
LUGO,POLLO,39.61
LUGO,VACUNO,24.32
LERIDA,MANZANA,57.12
LERIDA,PARAGUAYAS,6.63
LERIDA,PERA,28.69
LEON,PATATA,22.29
LEON,PERA,18.79
LEON,POLLO,21.41
LAS PALMAS,ATUN,1.07
LAS PALMAS,PAPAYA,0.12
LAS PALMAS,PLATANO,98.69
LA RIOJA,LECHUGA,5.29
LA RIOJA,PATATA,52.66
LA RIOJA,PERA,18.21
LA CORUÑA,BACALADILLA-LIRIO,9.18
LA CORUÑA,MERLUZA,11.9
LA CORUÑA,VACUNO,7.16
JAEN,ELABORADOS,6.07
JAEN,PORCINO,24.23
JAEN,VACUNO,42.98
HUESCA,CEREZAS,6.17
HUESCA,MANZANA,63.62
HUESCA,PERA,14.76
HUELVA,FRAMBUESAS,2.09
HUELVA,FRESON,85.82
HUELVA,NARANJA,3.7
GUIPUZCOA,BACALAO,6.77
GUIPUZCOA,ELABORADOS,10.86
GUIPUZCOA,MERLUZA,20.62
GUADALAJARA,ESPARRAGO,31.57
GUADALAJARA,HUEVOS,33.08
GUADALAJARA,POLLO,14.85
GRANADA,CHIRIMOYAS,15.29
GRANADA,ESPARRAGO,5.19
GRANADA,TOMATE,49.92
GERONA,MANZANA,72.17
GERONA,PORCINO,14.49
GERONA,VACUNO,3.46
CUENCA,CEBOLLA,44.95
CUENCA,CHAMPIÑON,13.99
CUENCA,PORCINO,30.3
CORDOBA,NARANJA,21.01
CORDOBA,PATATA,21.74
CORDOBA,VACUNO,21.35
CIUDAD REAL,CEBOLLA,69.28
CIUDAD REAL,ELABORADOS,4.75
CIUDAD REAL,MELONES,11.43
CASTELLON,BOQUERON,4.07
CASTELLON,MANDARINA,17.66
CASTELLON,NARANJA,49.9
CANTABRIA,BOQUERON,15.27
CANTABRIA,LANGOSTINO,11.91
CANTABRIA,LECHUGA,20.26
CADIZ,PATATA,16.98
CADIZ,PUERROS,9.22
CADIZ,ZANAHORIA,33.81
CACERES,AÑOJO,4.14
CACERES,CEREZAS,34.58
CACERES,VACUNO,46.1
BURGOS,PATATA,75.71
BURGOS,PORCINO,7.69
BURGOS,VACUNO,6.94
BARCELONA,AÑOJO,6.09
BARCELONA,PORCINO,30.04
BARCELONA,VACUNO,38.36
BADAJOZ,CEREZAS,12.92
BADAJOZ,MELOCOTON,31.87
BADAJOZ,NECTARINA,9.69
AVILA,CEREZAS,9.22
AVILA,PAVO,34.57
AVILA,POLLO,32.87
ASTURIAS,BACALADILLA-LIRIO,7.18
ASTURIAS,KIWI,44.87
ASTURIAS,VACUNO,19.2
ALMERIA,LECHUGA,10.73
ALMERIA,PIMIENTO,11.5
ALMERIA,TOMATE,43.19
ALICANTE,LIMON,9.38
ALICANTE,NARANJA,14.59
ALICANTE,POMELO,7.47
ALBACETE,AJOS,4.67
ALBACETE,CEBOLLA,34.64
ALBACETE,CHAMPIÑON,45.38
ALAVA,ELABORADOS,1.09
ALAVA,PATATA,63.43
ALAVA,POLLO,31.59
